round;sample;ID_plate;centroid_1;centroid_2;growth_rate;peaks;circularity;eccentricity;RGB_mean_1;RGBt_mean_2;RGBt_mean_3;RGBt_std_1;RGBt_std_2;RGBt_std_3;Lab_mean_1;Lab_mean_2;Lab_mean_3;Lab_std_1;Lab_std_2;Lab_std_3;Labt_mean_1;Labt_mean_2;Labt_mean_3;Labt_std_1;Labt_std_2;Labt_std_3;activity_total
2;40ul-nr8;16-21;1536;1065;0,578623494;10;0,76399;0,47846;152,3185;131,6322;117,3678;25,1176;14,9239;10,7011;53,9987;9,4137;10,9135;6,08299;3,17355;3,23916;57,971;11,6606;12,9484;6,64459;3,76055;3,89269;0
2;40ul-nr8;16-24;1697;1125;65535;10;0,95303;0,1894;156,7693;133,4333;87,3;18,7519;12,9739;14,4488;55,5923;5,04821;26,3708;4,38768;3,05624;6,2245;57,6672;6,09753;29,3525;5,28114;3,89061;6,85403;0
2;40ul-nr8;16-3;478;493;0,198334212;12;1,0555;0,26662;230,5431;204,3125;109,4688;33,4083;27,4948;23,7555;80,696;2,59112;43,0801;9,20925;4,35879;16,3633;83,2652;1,20501;50,3573;9,97976;4,40209;17,7169;0
2;40ul-nr8;16-9;675;1172;0,559589874;17;1,0197;0,35577;231,8618;161,2273;125,6061;31,6227;23,7324;18,1844;73,7498;20,0781;26,765;6,80862;4,29495;4,83245;71,5629;19,6528;27,9423;9,55686;3,96603;6,20723;1
2;50ul-nr1;17-4;1112;542;0,390555924;8;0,86367;0,25101;131,4248;112,2308;95,34615;6,72504;4,86052;1,59856;47,9204;6,25389;11,4105;1,81766;1,45288;2,22901;48,9433;5,87487;12,5828;1,98925;1,27934;2,411;0
2;50ul-nr2;18-1;331;634;0,211597164;9;0,66814;0,47824;129,4579;118,2941;121,6471;3,77102;2,71027;2,54807;51,6751;3,75337;-0,456991;2,48589;1,60349;1,35174;50,4955;3,49156;-0,817546;1,07724;1,21765;1,35891;1
2;50ul-nr2;18-2;364;807;0,027124249;10;0,90773;0,39275;134,3183;118,5;105,4231;8,86757;6,75426;2,08179;50,3454;4,85396;9,25791;2,37212;1,58937;2,43325;51,2636;5,36209;9,96517;2,67765;1,7533;3,03761;0
2;50ul-nr2;18-4;956;1775;0,703393325;16;1,0153;0,29653;211,9273;205,58;196;51,3958;55,9063;54,5475;78,0619;5,73971;9,36989;20,5804;4,85826;6,36248;83,3525;5,05325;7,15661;20,1399;3,86622;5,56772;1
2;50ul-nr3;19-17;1070;1008;0,229129891;10;1,0699;0,076616;243,0513;166,12;130,64;18,8531;12,4107;8,54342;73,8551;26,2708;29,7164;5,88186;3,4066;3,68428;75,3959;26,4232;30,7067;5,08119;3,06556;3,45354;1
2;50ul-nr3;19-20;1178;1696;0,848035526;13;0,9901;0,31971;249,937;232;209,3103;12,805;21,4509;27,1654;91,2596;4,22788;15,9662;8,83189;5,99834;7,63997;93,0634;3,59661;13,6666;6,79004;5,03363;8,08794;1
2;50ul-nr3;19-22;1295;1083;0,375623793;10;1,0672;0,16651;247,6641;227,2308;205,4231;31,0519;38,2856;34,335;90,3809;4,79329;14,841;10,4332;6,65187;4,45772;91,1174;3,25549;13,0628;13,373;4,79606;4,45688;1
2;50ul-nr3;19-24;1383;1000;0,422583898;8;0,74727;0,27264;127,4157;97,68421;78,15789;5,45583;4,13726;2,77415;43,6264;9,63471;15,8519;1,356;1,48609;1,4275;44,1837;10,2364;16,1747;1,70629;1,40093;1,4471;0
2;50ul-nr3;19-26;1441;1609;0,509084595;18;0,6569;0,53444;237,5625;217,7639;191,2083;28,9612;37,3497;37,5882;85,3764;6,00038;17,6954;14,1632;6,26724;7,58425;88,1879;4,69865;16,3047;12,646;5,67511;7,83139;1
2;50ul-nr3;19-27;1489;1476;0,191150879;20;1,0032;0,30138;229,2418;210,5062;187,0988;39,9583;47,6314;48,1567;81,2277;8,18112;17,1989;16,6301;6,94162;7,55384;85,6025;5,584;15,0195;16,6535;5,78179;8,34587;1
2;50ul-nr3;19-28;1487;379;0,205139855;13;1,0283;0,22893;250,7073;201,375;176,0417;16,0204;25,7117;23,4293;86,6285;11,5;18,228;8,30667;7,93476;4,31276;84,9277;14,6997;19,6987;7,8648;7,99389;3,48893;0
2;50ul-nr3;19-29;1534;904;0,093739932;6;0,74737;0,31189;132,6268;109,0882;85,97059;10,6061;6,85949;2,75775;46,6745;7,74593;15,8211;2,41063;1,57577;2,53485;48,2099;7,72148;17,135;2,96702;1,96888;2,98904;0
2;50ul-nr3;19-3;487;1093;0,059542963;10;0,99483;0,31992;162,3813;128,0556;112,2222;29,7396;15,9749;11,7086;54,2287;14,4778;13,8998;7,38715;4,45303;4,322;57,9341;16,668;16,0026;7,55794;5,05232;4,31082;0
2;50ul-nr3;19-31;1674;728;0,051136904;10;1,0596;0,22898;169,4718;146,6538;133,5385;16,1813;10,0516;7,19016;61,9797;7,29595;9,67313;3,68041;2,64869;2,69518;62,8762;8,10551;10,7297;4,29522;2,43228;2,72586;0
2;50ul-nr3;19-4;547;715;0,040282141;9;0,64305;0,24806;132,9156;106,1212;83,93939;9,9782;5,67757;2,68024;46,1389;8,82864;16,0191;2,34989;1,75941;2,53637;47,4861;9,61766;17,3712;2,60594;1,96898;2,46235;1
2;50ul-nr3;19-5;611;959;0,056184311;14;0,57154;0,54464;135,0455;105,4643;83,125;12,755;7,23222;5,1903;45,8152;10,8577;16,0471;3,06559;2,31631;3,38644;48,0589;12,7981;18,7441;3,24131;2,93762;3,95938;0
2;50ul-nr3;19-8;711;666;0,017259459;16;1,03;0,29189;249,1591;229,675;212,325;18,8188;29,1093;35,6201;90,8054;4,7951;15,2538;8,7523;5,52498;7,4291;92,3879;4,7775;11,2586;9,60801;5,10753;8,90897;1
2;50ul-nr4;20-11;1030;559;0,594693245;20;0,90662;0,32488;181,0195;153,5426;136,7128;30,3467;18,2059;14,8408;61,6449;13,3665;13,687;8,30804;4,02215;3,66829;67,5008;15,9414;15,9183;7,96306;4,29626;3,53513;0
2;50ul-nr4;20-12;1073;482;0,200851078;13;0,99914;0,29943;244,7354;228,5319;213,2553;18,9572;28,2457;28,639;90,5125;4,81254;9,52805;10,9709;4,67128;5,07245;91,928;4,5614;10,0318;9,21677;5,1563;4,5577;0
2;50ul-nr4;20-13;1110;830;0,881641821;13;0,65494;0,38035;175,4753;133,7071;116,8788;36,8456;24,0634;19,6673;56,7148;17,6901;16,6053;9,07467;3,9147;3,52129;60,9239;19,8448;17,8318;10,4878;4,22352;4,07338;1
